"키","이슈 ID","이슈 유형","상위 항목","요약","상태","우선순위","담당자","보고자","시작 날짜","기한","레이블"
"MFH-1","1","에픽","","공통 구조 및 접근 권한","완료","High","민성 김","민성 김","2026-07-30","2026-08-14","infra"
"MFH-2","2","에픽","","직원·조직 관리","완료","High","민성 김","민성 김","2026-08-01","2026-08-14","backend"
"MFH-3","3","에픽","","전자결재","완료","Highest","민성 김","민성 김","2026-08-04","2026-08-14","backend"
"MFH-4","4","에픽","","채용 관리","완료","High","민성 김","민성 김","2026-08-07","2026-08-13","backend"
"MFH-5","5","에픽","","대시보드","완료","Medium","민성 김","민성 김","2026-08-08","2026-08-14","frontend"
"MFH-6","6","에픽","","QA·배포·문서화","진행 중","High","민성 김","민성 김","2026-07-30","2026-08-20","infra"
"MFH-64","64","에픽","","직원 매뉴얼·AX 도우미","완료","Medium","민성 김","민성 김","2026-08-07","2026-08-10","frontend"
"MFH-7","7","작업","1","Supabase Auth 로그인·세션 검증","완료","High","민성 김","민성 김","2026-08-02","2026-08-02","backend"
"MFH-8","8","작업","1","JWT와 RBAC 권한 검증","완료","High","민성 김","민성 김","2026-08-02","2026-08-03","backend"
"MFH-9","9","작업","1","401·403 오류 대응 문서화","완료","Low","민성 김","민성 김","2026-08-03","2026-08-03","docs"
"MFH-35","35","작업","1","프론트엔드 RBAC 권한 판별 오류 수정","완료","Medium","민성 김","민성 김","2026-08-05","2026-08-05","frontend"
"MFH-54","54","작업","1","생성형 AI 공통 기반","완료","High","민성 김","민성 김","2026-08-12","2026-08-12","backend"
"MFH-58","58","작업","1","세션 자동 로그아웃","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","frontend"
"MFH-65","65","작업","1","파트장 권한 체계 PART_ADMIN 도입","완료","High","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-10","10","작업","2","직원 목록 검색·필터","완료","High","민성 김","민성 김","2026-08-01","2026-08-01","frontend"
"MFH-11","11","작업","2","근태·휴가 상태와 사유 관리","완료","High","민성 김","민성 김","2026-08-02","2026-08-02","backend"
"MFH-31","31","작업","2","근태 변경 이력과 직원 상세 UX","완료","Medium","민성 김","민성 김","2026-08-03","2026-08-03","frontend"
"MFH-36","36","작업","2","직원 상세 진입 UX 통일 및 Seed 재직 상태 정상화","완료","Medium","민성 김","민성 김","2026-08-05","2026-08-05","frontend"
"MFH-12","12","작업","2","모바일 직원 목록 반응형 UI","완료","Medium","민성 김","민성 김","2026-08-07","2026-08-07","frontend"
"MFH-13","13","작업","2","조직도 확대 모달","완료","Low","민성 김","민성 김","2026-08-07","2026-08-07","frontend"
"MFH-39","39","작업","2","조직 개편 및 직원번호 재배치","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","backend"
"MFH-41","41","작업","2","최신 조직도 자산 교체 및 캐시 오류 수정","완료","Medium","민성 김","민성 김","2026-08-08","2026-08-08","frontend"
"MFH-45","45","작업","2","SW·HW·CS 파트장 권한 부여 결정","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-14","14","작업","3","전자결재 문서 CRUD","완료","Highest","민성 김","민성 김","2026-08-04","2026-08-04","backend"
"MFH-15","15","작업","3","전자결재 상신·승인·반려","완료","Highest","민성 김","민성 김","2026-08-05","2026-08-05","backend"
"MFH-16","16","작업","3","전자결재 자기 승인 차단","완료","High","민성 김","민성 김","2026-08-06","2026-08-06","backend"
"MFH-40","40","작업","3","결재자 직급 제한 및 관리자 승인 오류 수정","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","backend"
"MFH-55","55","작업","3","전자결재 AI 초안 생성","완료","High","민성 김","민성 김","2026-08-12","2026-08-12","backend"
"MFH-66","66","작업","3","파트장 결재자 지정 허용","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-17","17","작업","4","채용 요청 작성·수정","완료","High","민성 김","민성 김","2026-08-07","2026-08-07","backend"
"MFH-18","18","작업","4","채용 포스터 첨부·미리보기","완료","Medium","민성 김","민성 김","2026-08-07","2026-08-07","frontend"
"MFH-19","19","작업","4","승인 후 채용공고 자동 생성","완료","High","민성 김","민성 김","2026-08-07","2026-08-07","backend"
"MFH-26","26","작업","4","ATS 지원자 관리 MVP","완료","High","민성 김","민성 김","2026-08-08","2026-08-09","backend"
"MFH-56","56","작업","4","채용 정보 구체화와 AI 공고 초안","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","backend"
"MFH-57","57","작업","4","AI 채용 포스터 생성","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","backend"
"MFH-20","20","작업","5","인증 기반 대시보드 지표","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","frontend"
"MFH-21","21","작업","5","대시보드 지표 컴포넌트 분리","완료","Low","민성 김","민성 김","2026-08-08","2026-08-08","frontend"
"MFH-29","29","작업","5","대시보드 실제 업무 데이터 연결","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","backend"
"MFH-52","52","작업","5","전체 채용공고 지원자 현황 개선","완료","Medium","민성 김","민성 김","2026-08-13","2026-08-13","frontend"
"MFH-44","44","작업","5","대시보드 운영 데이터 정책 결정","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","docs"
"MFH-67","67","작업","5","인앱 알림 기능 제거","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-47","47","작업","5","공통 오류 응답 형식 설계","할 일","Low","민성 김","민성 김","","2026-08-20","backend"
"MFH-68","68","작업","64","직원 매뉴얼·FAQ 구축","완료","High","민성 김","민성 김","2026-08-07","2026-08-07","backend"
"MFH-23","23","작업","64","직원 매뉴얼 MVP 검증","완료","Medium","민성 김","민성 김","2026-08-07","2026-08-07","docs"
"MFH-69","69","작업","64","AX 직원 도우미 v1 기획과 FAQ 보강","완료","Medium","민성 김","민성 김","2026-08-09","2026-08-09","docs"
"MFH-70","70","작업","64","AX 직원 도우미 v1 구현 (LLM 미사용 문서 검색)","완료","High","민성 김","민성 김","2026-08-10","2026-08-10","backend"
"MFH-22","22","작업","6","프로젝트 문서 기준선 정리","완료","Medium","민성 김","민성 김","2026-07-30","2026-07-31","docs"
"MFH-30","30","작업","6","문서·명세 현재 구현 정합화","완료","Medium","민성 김","민성 김","2026-08-05","2026-08-05","docs"
"MFH-37","37","작업","6","docs 폴더 구조 정리 및 아카이브","완료","Low","민성 김","민성 김","2026-08-05","2026-08-05","docs"
"MFH-38","38","작업","6","배포 전 코드베이스 구조 점검","완료","Medium","민성 김","민성 김","2026-08-05","2026-08-05","backend"
"MFH-27","27","작업","6","채용 포스터 Supabase Storage 전환","완료","High","민성 김","민성 김","2026-08-05","2026-08-05","backend"
"MFH-32","32","작업","6","Render 백엔드 배포","완료","Highest","민성 김","민성 김","2026-08-06","2026-08-06","infra"
"MFH-33","33","작업","6","Render 프론트엔드 배포","완료","Highest","민성 김","민성 김","2026-08-06","2026-08-06","infra"
"MFH-34","34","작업","6","배포 후 스모크 테스트 및 CORS·환경변수 점검","완료","High","민성 김","민성 김","2026-08-06","2026-08-06","infra"
"MFH-28","28","작업","6","GitHub Actions CI 구성","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","infra"
"MFH-25","25","작업","6","Playwright E2E 테스트와 계정 정리","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","infra"
"MFH-24","24","작업","6","Backend·Frontend 품질 검사 정착","완료","High","민성 김","민성 김","2026-08-08","2026-08-08","infra"
"MFH-51","51","작업","6","업무 화면 UI·모바일 반응형 보정","완료","Low","민성 김","민성 김","2026-08-13","2026-08-13","frontend"
"MFH-42","42","작업","6","GitHub Actions 실행 결과 확인","완료","Medium","민성 김","민성 김","2026-08-13","2026-08-13","infra"
"MFH-43","43","작업","6","Render 배포 게이트 방식 결정","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","infra"
"MFH-59","59","작업","6","Feature Freeze 판정","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","docs"
"MFH-60","60","작업","6","Render 배포 게이트 전환","완료","High","민성 김","민성 김","2026-08-13","2026-08-13","infra"
"MFH-61","61","작업","6","Render 배포 게이트 동작 검증","완료","High","민성 김","민성 김","2026-08-14","2026-08-14","infra"
"MFH-53","53","작업","6","Feature Freeze·PR·배포 최종 검증","완료","High","민성 김","민성 김","2026-08-14","2026-08-14","infra"
"MFH-71","71","작업","6","데드코드·중복 자산 정리와 알림 기능 제거","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-72","72","작업","6","기획 문서 통합 및 Context 구조 정비","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","docs"
"MFH-73","73","작업","6","핵심 코드 주석 보강","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","docs"
"MFH-74","74","작업","6","README 재구성","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","docs"
"MFH-75","75","작업","6","테스트 계정 정리 스크립트 개선","완료","Medium","민성 김","민성 김","2026-08-14","2026-08-14","backend"
"MFH-62","62","작업","6","GitHub branch protection 적용","할 일","Medium","민성 김","민성 김","","2026-08-17","infra"
"MFH-63","63","작업","6","Pre-Deploy Command로 migration 자동화 검토","할 일","Low","민성 김","민성 김","","2026-08-17","infra"
"MFH-46","46","작업","6","ATS·Storage Playwright E2E 확대","할 일","Low","민성 김","민성 김","","2026-08-20","infra"
